Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
10689,Generator Rex: Agent of Providence,3DS,2011.0,Action,Activision,0.07,0.02,0.0,0.01,0.1
10856,FIFA Street 3,DS,2008.0,Sports,Electronic Arts,0.07,0.02,0.0,0.01,0.09
12101,Family Trainer: Treasure Adventure,Wii,2010.0,Sports,Namco Bandai Games,0.0,0.06,0.0,0.01,0.07
2973,Shark Tale,GBA,2004.0,Action,Activision,0.49,0.18,0.0,0.01,0.68
8504,Medieval Games,Wii,2009.0,Action,Vir2L Studios,0.14,0.01,0.0,0.01,0.16
15102,Daito Giken Koushiki Pachi-Slot Simulator: Hihouden - Fuujirareta Megami Portable,PSP,2011.0,Misc,Paon,0.0,0.0,0.02,0.0,0.02
661,WCW/nWo Revenge,N64,1998.0,Fighting,THQ,1.94,0.39,0.03,0.02,2.38
12769,Angelique Trois,PS2,2000.0,Adventure,Tecmo Koei,0.0,0.0,0.06,0.0,0.06
15454,UFO: Trilogy,PC,2007.0,Strategy,Unknown,0.0,0.02,0.0,0.0,0.02
10758,Wasteland 2,PC,2015.0,Role-Playing,inXile Entertainment,0.02,0.06,0.0,0.01,0.1
12558,Top Gun: Hard Lock,X360,2012.0,Action,505 Games,0.03,0.02,0.0,0.0,0.06
6955,New Carnival Games,DS,2010.0,Misc,Take-Two Interactive,0.16,0.05,0.0,0.02,0.23
16089,"Iza, Shutsujin! Koisen",PSP,2011.0,Adventure,Quinrose,0.0,0.0,0.01,0.0,0.01
5398,Harry Potter and the Half-Blood Prince,PS3,2009.0,Action,Electronic Arts,0.15,0.13,0.0,0.06,0.34
8788,Blazing Angels 2: Secret Missions of WWII,PS3,2007.0,Simulation,Ubisoft,0.1,0.03,0.0,0.02,0.15
2698,ISS Pro Evolution,PS,1998.0,Sports,Konami Digital Entertainment,0.0,0.0,0.71,0.05,0.76
1932,Skylanders SWAP Force,PS3,2013.0,Platform,Activision,0.43,0.44,0.0,0.2,1.07
999,Hitman: Absolution,X360,2012.0,Action,Square Enix,0.68,0.9,0.01,0.17,1.76
4821,Cabela's Big Game Hunter 2010,PS3,2009.0,Sports,Activision Value,0.37,0.0,0.0,0.03,0.4
11578,Motto! Stitch! DS Rhythm de Rakugaki Daisakusen,DS,2010.0,Misc,Disney Interactive Studios,0.0,0.0,0.08,0.0,0.08
319,The Legend of Zelda: Link's Awakening,GB,1992.0,Action,Nintendo,2.21,0.96,0.54,0.13,3.83
10708,Little League World Series Baseball 2010,X360,2010.0,Sports,Activision,0.09,0.0,0.0,0.01,0.1
14232,Utawarerumono Portable,PSP,2009.0,Role-Playing,Aqua Plus,0.0,0.0,0.03,0.0,0.03
689,Need For Speed: High Stakes,PS,1999.0,Racing,Electronic Arts,1.58,0.64,0.0,0.09,2.31
611,Game Party,Wii,2007.0,Misc,Midway Games,1.5,0.78,0.0,0.24,2.52
6101,Kung Zhu,DS,2010.0,Action,Activision,0.26,0.0,0.0,0.02,0.29
12128,Lost in Blue 2,DS,2007.0,Adventure,Konami Digital Entertainment,0.01,0.01,0.05,0.0,0.07
5539,NCAA GameBreaker 2001,PS,2000.0,Sports,Sony Computer Entertainment,0.18,0.12,0.0,0.02,0.33
2559,World Soccer Jikkyou Winning Eleven 3: World Cup France '98,PS,1998.0,Sports,Konami Digital Entertainment,0.0,0.0,0.75,0.05,0.81
9994,FIFA Soccer,PSP,2005.0,Sports,Electronic Arts,0.11,0.0,0.0,0.01,0.12
6254,R.U.S.E.,PC,2010.0,Strategy,Ubisoft,0.04,0.19,0.0,0.05,0.28
5077,Dragon Ball Z: Attack of the Saiyans,DS,2009.0,Role-Playing,Namco Bandai Games,0.13,0.02,0.21,0.01,0.38
11990,MLB Front Office Manager,X360,2009.0,Sports,Take-Two Interactive,0.06,0.0,0.0,0.01,0.07
4804,Gauntlet: Seven Sorrows,PS2,2005.0,Role-Playing,Midway Games,0.2,0.15,0.0,0.05,0.4
3868,SSX On Tour,PS2,2005.0,Sports,Electronic Arts,0.25,0.2,0.0,0.07,0.52
10321,Hitman Trilogy,PS2,2007.0,Action,Eidos Interactive,0.05,0.04,0.0,0.01,0.11
15690,World Class Rugby 2: Kokunai Gekitou Hen '93,SNES,1994.0,Sports,Misawa,0.0,0.0,0.02,0.0,0.02
15203,Indigo Prophecy,PC,2005.0,Adventure,Atari,0.0,0.02,0.0,0.0,0.02
6096,Ratatouille: Food Frenzy,DS,2007.0,Puzzle,THQ,0.26,0.0,0.0,0.02,0.29
13413,Arslan: The Warriors of Legend,PS3,2015.0,Action,Tecmo Koei,0.0,0.0,0.05,0.0,0.05
12455,Champion Jockey: G1 Jockey & Gallop Racer,X360,2011.0,Sports,Tecmo Koei,0.0,0.05,0.0,0.01,0.06
8686,Street Racer,PS,1996.0,Racing,Ubisoft,0.09,0.06,0.0,0.01,0.16
