Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
12643,The History Channel: Battle for the Pacific,X360,2007.0,Shooter,Activision,0.05,0.0,0.0,0.0,0.06
10134,Yu Yu Hakusho: Tournament Tactics,GBA,2004.0,Strategy,Atari,0.08,0.03,0.0,0.0,0.11
9490,The History Channel: Great Battles - Medieval,X360,2010.0,Strategy,Slitherine Software,0.08,0.04,0.0,0.01,0.13
2052,Monster Rancher,PS,1997.0,Simulation,Tecmo Koei,0.12,0.08,0.74,0.07,1.01
9266,Singstar: Ultimate Party,PS3,2014.0,Misc,Sony Computer Entertainment Europe,0.0,0.12,0.0,0.02,0.14
553,Onimusha: Warlords,PS2,2001.0,Action,Virgin Interactive,0.99,0.48,1.09,0.14,2.7
16184,Resistance Dual Pack,PS3,2011.0,Shooter,Sony Computer Entertainment,0.0,0.01,0.0,0.0,0.01
12718,Titan Quest,PC,2006.0,Role-Playing,THQ,0.01,0.04,0.0,0.01,0.06
1562,Hogan's Alley,NES,1984.0,Shooter,Nintendo,0.68,0.16,0.41,0.02,1.27
7948,Star Trek: Legacy,X360,,Simulation,Ubisoft,0.14,0.03,0.0,0.02,0.19
15673,NEVES,DS,2007.0,Puzzle,Ignition Entertainment,0.01,0.0,0.0,0.0,0.02
7152,Reactor,2600,1981.0,Action,Parker Bros.,0.21,0.01,0.0,0.0,0.22
8944,Crash: Twinsanity,XB,2004.0,Platform,Vivendi Games,0.11,0.03,0.0,0.01,0.15
3601,Hamtaro: Ham-Hams Unite!,GB,2001.0,Role-Playing,Nintendo,0.0,0.0,0.56,0.0,0.56
1709,LEGO Indiana Jones: The Original Adventures,PSP,2008.0,Action,LucasArts,0.4,0.49,0.0,0.29,1.18
2946,Metal Gear Solid: Portable Ops Plus,PSP,2007.0,Action,Konami Digital Entertainment,0.26,0.01,0.26,0.17,0.69
12130,Secret Service: Ultimate Sacrifice,PS2,2008.0,Action,Activision,0.03,0.03,0.0,0.01,0.07
10064,My SAT Coach with The Princeton Review,DS,2008.0,Misc,Ubisoft,0.1,0.0,0.0,0.01,0.11
14388,Last Escort: Club Katze,PSP,2010.0,Adventure,D3Publisher,0.0,0.0,0.03,0.0,0.03
10939,I-Ninja,GC,2003.0,Platform,Namco Bandai Games,0.07,0.02,0.0,0.0,0.09
2555,The Next Tetris,PS,1998.0,Puzzle,Atari,0.45,0.31,0.0,0.05,0.81
12811,Impact Racing,PS,1996.0,Racing,JVC,0.03,0.02,0.0,0.0,0.06
14276,Beyond the Labyrinth,3DS,,Role-Playing,Unknown,0.0,0.0,0.03,0.0,0.03
13535,Monster Trux Arenas: Special Edition,Wii,2007.0,Racing,Popcorn Arcade,0.04,0.0,0.0,0.0,0.04
832,Dance Central 2,X360,2011.0,Misc,Microsoft Game Studios,1.45,0.42,0.01,0.16,2.04
5094,Digging for Dinosaurs,DS,2010.0,Action,Scholastic Inc.,0.35,0.0,0.0,0.02,0.37
893,Watch Dogs,PS3,2014.0,Action,Ubisoft,0.56,0.89,0.1,0.37,1.93
11557,RoadKill,XB,2003.0,Action,Midway Games,0.06,0.02,0.0,0.0,0.08
15957,IHRA Drag Racing: Sportsman Edition,XB,2006.0,Racing,Bethesda Softworks,0.01,0.0,0.0,0.0,0.02
9561,Space Bust-A-Move,DS,2008.0,Puzzle,Square Enix,0.1,0.02,0.0,0.01,0.13
11945,Rock Band Country Track Pack 2,PS3,2011.0,Misc,MTV Games,0.07,0.0,0.0,0.01,0.07
13789,King of Fighters: Maximum Impact Regulation A,PS2,2007.0,Fighting,SNK Playmore,0.0,0.0,0.04,0.0,0.04
9391,James Bond 007: Legends,WiiU,2012.0,Shooter,Activision,0.07,0.05,0.0,0.01,0.13
9166,Dead or Alive 2,DC,2000.0,Fighting,Acclaim Entertainment,0.0,0.0,0.14,0.0,0.14
6653,Kung Fu Panda 2,X360,2011.0,Action,THQ,0.16,0.07,0.0,0.02,0.25
2490,Brute Force,XB,2003.0,Shooter,Microsoft Game Studios,0.62,0.18,0.01,0.03,0.83
12476,Super Robot Wars OG Saga Masou Kishin F: Coffin of the End,PS3,2014.0,Strategy,Namco Bandai Games,0.0,0.0,0.06,0.0,0.06
9459,The IdolM@ster: One for All,PS3,2014.0,Misc,Namco Bandai Games,0.0,0.0,0.13,0.0,0.13
15137,Homeworld,PC,1998.0,Strategy,Vivendi Games,0.0,0.02,0.0,0.0,0.02
14348,SingStar Chartbreaker,PS3,2009.0,Misc,Sony Computer Entertainment,0.0,0.02,0.0,0.01,0.03
9270,Vampire Moon: The Mystery of the Hidden Sun,DS,2010.0,Adventure,City Interactive,0.12,0.01,0.0,0.01,0.14
13406,The Misadventures of Tron Bonne,PS,1999.0,Adventure,Eidos Interactive,0.03,0.02,0.0,0.0,0.05
7458,I Spy: Castle,DS,2011.0,Puzzle,Scholastic Inc.,0.19,0.0,0.0,0.01,0.21
14961,Kami Naru Kimi to,PSP,2011.0,Adventure,Idea Factory,0.0,0.0,0.02,0.0,0.02
